"EVENT_DATE","ADMIN1","EVENT_TYPE"
"01-2020","Nord","Battles"
"01-2020","Est","Strategic developments"
"01-2020","Centre-Nord","Violence against civilians"
"01-2020","Boucle du Mouhoun","Violence against civilians"
"01-2020","Est","Violence against civilians"
"01-2020","Nord","Battles"
"02-2020","Sahel","Violence against civilians"
"02-2020","Sahel","Violence against civilians"
"02-2020","Est","Explosions/Remote violence"
"02-2020","Sahel","Battles"
"02-2020","Centre-Nord","Violence against civilians"
"02-2020","Sahel","Explosions/Remote violence"
"02-2020","Sahel","Violence against civilians"
"02-2020","Centre-Nord","Violence against civilians"
"02-2020","Sahel","Battles"
"02-2020","Est","Battles"
"02-2020","Boucle du Mouhoun","Violence against civilians"
"02-2020","Sahel","Battles"
"02-2020","Est","Violence against civilians"
"02-2020","Boucle du Mouhoun","Battles"
"02-2020","Sahel","Explosions/Remote violence"
"02-2020","Est","Violence against civilians"
"02-2020","Sahel","Strategic developments"
"02-2020","Sahel","Violence against civilians"
"02-2020","Est","Battles"
"02-2020","Centre-Nord","Violence against civilians"
"02-2020","Centre-Nord","Violence against civilians"
"02-2020","Centre-Nord","Battles"
"02-2020","Centre-Nord","Violence against civilians"
"02-2020","Est","Violence against civilians"
"02-2020","Centre-Nord","Battles"
"02-2020","Boucle du Mouhoun","Violence against civilians"
"02-2020","Centre","Riots"
"02-2020","Sahel","Violence against civilians"
"02-2020","Sahel","Explosions/Remote violence"
"02-2020","Sahel","Violence against civilians"
"02-2020","Nord","Explosions/Remote violence"
"02-2020","Sahel","Violence against civilians"
"02-2020","Sahel","Violence against civilians"
"02-2020","Cascades","Strategic developments"
"02-2020","Centre-Nord","Violence against civilians"
"02-2020","Sahel","Violence against civilians"
"02-2020","Est","Battles"
"02-2020","Centre-Nord","Violence against civilians"
"02-2020","Sahel","Battles"
"02-2020","Plateau-Central","Riots"
"02-2020","Boucle du Mouhoun","Riots"
"02-2020","Sahel","Violence against civilians"
"02-2020","Centre","Protests"
"02-2020","Sahel","Explosions/Remote violence"
"02-2020","Cascades","Explosions/Remote violence"
"02-2020","Centre","Protests"
"02-2020","Est","Violence against civilians"
"02-2020","Est","Battles"
"02-2020","Sahel","Battles"
"02-2020","Nord","Violence against civilians"
"02-2020","Nord","Violence against civilians"
"02-2020","Nord","Violence against civilians"
"02-2020","Centre-Nord","Battles"
"02-2020","Centre-Nord","Violence against civilians"
"02-2020","Centre-Nord","Battles"
"02-2020","Hauts-Bassins","Protests"
"02-2020","Sahel","Battles"
"02-2020","Cascades","Battles"
"02-2020","Sud-Ouest","Protests"
"02-2020","Est","Protests"
"02-2020","Centre-Nord","Battles"
"02-2020","Sahel","Battles"
"02-2020","Sahel","Violence against civilians"
"03-2020","Sahel","Violence against civilians"
"03-2020","Centre-Nord","Protests"
"03-2020","Sahel","Violence against civilians"
"03-2020","Sahel","Violence against civilians"
"03-2020","Est","Battles"
"03-2020","Centre","Protests"
"03-2020","Centre-Ouest","Protests"
"03-2020","Nord","Explosions/Remote violence"
"03-2020","Sahel","Battles"
"03-2020","Centre","Protests"
"03-2020","Sahel","Battles"
"03-2020","Sahel","Battles"
"03-2020","Est","Battles"
"03-2020","Centre-Nord","Battles"
"03-2020","Sahel","Violence against civilians"
"03-2020","Centre-Nord","Protests"
"03-2020","Est","Protests"
"03-2020","Plateau-Central","Protests"
"03-2020","Sud-Ouest","Protests"
"03-2020","Hauts-Bassins","Protests"
"03-2020","Est","Violence against civilians"
"03-2020","Nord","Protests"
"03-2020","Cascades","Protests"
"03-2020","Hauts-Bassins","Protests"
"03-2020","Centre","Protests"
"03-2020","Est","Protests"
"03-2020","Est","Protests"
"03-2020","Est","Protests"
"03-2020","Centre-Nord","Protests"
"03-2020","Sahel","Protests"
"03-2020","Est","Protests"
"03-2020","Sahel","Violence against civilians"
"03-2020","Nord","Violence against civilians"
"03-2020","Nord","Violence against civilians"
"03-2020","Est","Battles"
"03-2020","Sahel","Explosions/Remote violence"
"03-2020","Est","Violence against civilians"
"03-2020","Sahel","Violence against civilians"
"03-2020","Sahel","Explosions/Remote violence"
"03-2020","Sahel","Battles"
"03-2020","Sahel","Battles"
"03-2020","Sahel","Battles"
"03-2020","Sahel","Strategic developments"
"03-2020","Centre-Nord","Battles"
"03-2020","Centre-Nord","Violence against civilians"
"03-2020","Est","Violence against civilians"
"03-2020","Est","Strategic developments"
"03-2020","Nord","Battles"
"03-2020","Boucle du Mouhoun","Battles"
"03-2020","Est","Strategic developments"
"03-2020","Sahel","Battles"
"03-2020","Centre-Nord","Violence against civilians"
"03-2020","Sahel","Battles"
"03-2020","Sahel","Violence against civilians"
"03-2020","Sahel","Battles"
"03-2020","Nord","Battles"
"03-2020","Sahel","Strategic developments"
"03-2020","Sahel","Violence against civilians"
"03-2020","Sahel","Battles"
"03-2020","Sahel","Violence against civilians"
"03-2020","Sahel","Battles"
"03-2020","Centre","Strategic developments"
"03-2020","Nord","Battles"
"03-2020","Est","Violence against civilians"
"03-2020","Nord","Battles"
"03-2020","Sahel","Battles"
"03-2020","Centre","Strategic developments"
"03-2020","Centre","Riots"
"03-2020","Est","Battles"
"03-2020","Est","Violence against civilians"
"03-2020","Est","Battles"
"03-2020","Est","Violence against civilians"
"03-2020","Cascades","Violence against civilians"
"03-2020","Hauts-Bassins","Violence against civilians"
"03-2020","Est","Strategic developments"
"03-2020","Centre-Nord","Violence against civilians"
"03-2020","Sahel","Battles"
"03-2020","Hauts-Bassins","Violence against civilians"
"03-2020","Sahel","Violence against civilians"
"03-2020","Centre","Strategic developments"
"03-2020","Est","Violence against civilians"
"03-2020","Centre-Nord","Battles"
"03-2020","Est","Violence against civilians"
"03-2020","Centre-Nord","Violence against civilians"
"03-2020","Centre-Nord","Violence against civilians"
"03-2020","Nord","Violence against civilians"
"03-2020","Boucle du Mouhoun","Explosions/Remote violence"
"03-2020","Centre","Riots"
"03-2020","Boucle du Mouhoun","Battles"
"03-2020","Est","Violence against civilians"
"04-2020","Sahel","Strategic developments"
"04-2020","Centre","Protests"
"04-2020","Boucle du Mouhoun","Explosions/Remote violence"
"04-2020","Centre-Nord","Battles"
"04-2020","Est","Violence against civilians"
"04-2020","Sahel","Explosions/Remote violence"
"04-2020","Est","Battles"
"04-2020","Centre-Nord","Battles"
"04-2020","Centre-Nord","Battles"
"04-2020","Sahel","Battles"
"04-2020","Sahel","Battles"
"04-2020","Sud-Ouest","Battles"
"04-2020","Sahel","Violence against civilians"
"04-2020","Sahel","Strategic developments"
"04-2020","Sahel","Explosions/Remote violence"
"04-2020","Sahel","Violence against civilians"
"04-2020","Nord","Battles"
"04-2020","Boucle du Mouhoun","Battles"
"04-2020","Boucle du Mouhoun","Strategic developments"
"04-2020","Sahel","Violence against civilians"
"04-2020","Nord","Battles"
"04-2020","Nord","Battles"
"04-2020","Est","Strategic developments"
"04-2020","Est","Violence against civilians"
"04-2020","Sahel","Strategic developments"
"04-2020","Est","Strategic developments"
"04-2020","Nord","Battles"
"04-2020","Est","Violence against civilians"
"04-2020","Est","Violence against civilians"
"04-2020","Cascades","Battles"
"04-2020","Sahel","Explosions/Remote violence"
"04-2020","Sahel","Battles"
"04-2020","Sahel","Strategic developments"
"04-2020","Sahel","Violence against civilians"
"04-2020","Sahel","Violence against civilians"
"04-2020","Nord","Explosions/Remote violence"
"04-2020","Sahel","Battles"
"04-2020","Boucle du Mouhoun","Violence against civilians"
"04-2020","Boucle du Mouhoun","Riots"
"04-2020","Sud-Ouest","Battles"
"04-2020","Sahel","Battles"
"04-2020","Est","Battles"
"04-2020","Sahel","Strategic developments"
"04-2020","Sahel","Battles"
"04-2020","Est","Violence against civilians"
"04-2020","Sahel","Battles"
"04-2020","Centre-Nord","Strategic developments"
"04-2020","Sud-Ouest","Riots"
"04-2020","Est","Strategic developments"
"04-2020","Est","Violence against civilians"
"04-2020","Sud-Ouest","Riots"
"04-2020","Est","Violence against civilians"
"04-2020","Sahel","Battles"
"04-2020","Centre-Nord","Violence against civilians"
"04-2020","Sahel","Strategic developments"
"04-2020","Sahel","Battles"
"04-2020","Sahel","Violence against civilians"
"04-2020","Sahel","Strategic developments"
"04-2020","Sahel","Strategic developments"
"04-2020","Est","Battles"
"04-2020","Sud-Ouest","Battles"
"04-2020","Est","Strategic developments"
"04-2020","Sahel","Explosions/Remote violence"
"04-2020","Est","Violence against civilians"
"04-2020","Boucle du Mouhoun","Battles"
"04-2020","Est","Strategic developments"
"04-2020","Sahel","Battles"
"04-2020","Nord","Violence against civilians"
"04-2020","Nord","Battles"
"04-2020","Sahel","Explosions/Remote violence"
"04-2020","Centre-Nord","Violence against civilians"
"04-2020","Sahel","Strategic developments"
"04-2020","Centre","Riots"
"04-2020","Sahel","Battles"
"04-2020","Sahel","Violence against civilians"
"04-2020","Centre-Nord","Protests"
"04-2020","Centre","Protests"
"04-2020","Nord","Explosions/Remote violence"
"04-2020","Centre-Nord","Strategic developments"
"04-2020","Est","Violence against civilians"
"04-2020","Sahel","Violence against civilians"
"04-2020","Est","Violence against civilians"
"05-2020","Sahel","Explosions/Remote violence"
"05-2020","Sahel","Explosions/Remote violence"
"05-2020","Sahel","Explosions/Remote violence"
"05-2020","Centre","Riots"
"05-2020","Est","Strategic developments"
"05-2020","Sahel","Battles"
"05-2020","Sahel","Violence against civilians"
"05-2020","Est","Violence against civilians"
"05-2020","Sahel","Violence against civilians"
"05-2020","Cascades","Riots"
"05-2020","Sahel","Violence against civilians"
"05-2020","Est","Violence against civilians"
"05-2020","Centre-Nord","Violence against civilians"
"05-2020","Hauts-Bassins","Violence against civilians"
"05-2020","Sahel","Explosions/Remote violence"
"05-2020","Est","Violence against civilians"
"05-2020","Est","Strategic developments"
"05-2020","Sahel","Violence against civilians"
"05-2020","Sahel","Violence against civilians"
"05-2020","Sahel","Strategic developments"
"05-2020","Sahel","Violence against civilians"
"05-2020","Nord","Explosions/Remote violence"
"05-2020","Sahel","Battles"
"05-2020","Sahel","Battles"
"05-2020","Sahel","Battles"
"05-2020","Sahel","Violence against civilians"
"05-2020","Sahel","Violence against civilians"
"05-2020","Sahel","Battles"
"05-2020","Est","Violence against civilians"
"05-2020","Sahel","Battles"
"05-2020","Sahel","Battles"
"05-2020","Sahel","Strategic developments"
"05-2020","Centre-Nord","Battles"
"05-2020","Sahel","Violence against civilians"
"05-2020","Sahel","Battles"
"05-2020","Sahel","Battles"
"05-2020","Nord","Explosions/Remote violence"
"05-2020","Est","Violence against civilians"
"05-2020","Centre-Nord","Violence against civilians"
"05-2020","Sahel","Battles"
"05-2020","Est","Strategic developments"
"05-2020","Sahel","Strategic developments"
"05-2020","Cascades","Explosions/Remote violence"
"05-2020","Cascades","Explosions/Remote violence"
"05-2020","Cascades","Battles"
"05-2020","Sahel","Violence against civilians"
"05-2020","Est","Violence against civilians"
"05-2020","Est","Battles"
"05-2020","Nord","Battles"
"05-2020","Sahel","Explosions/Remote violence"
"05-2020","Sahel","Explosions/Remote violence"
"05-2020","Sahel","Violence against civilians"
"05-2020","Est","Battles"
"05-2020","Sahel","Violence against civilians"
"05-2020","Est","Strategic developments"
"05-2020","Cascades","Battles"
"05-2020","Est","Strategic developments"
"05-2020","Est","Violence against civilians"
"05-2020","Nord","Battles"
"05-2020","Sahel","Violence against civilians"
"05-2020","Boucle du Mouhoun","Violence against civilians"
"05-2020","Boucle du Mouhoun","Battles"
"05-2020","Sahel","Explosions/Remote violence"
"05-2020","Sahel","Battles"
"05-2020","Centre-Est","Battles"
"05-2020","Cascades","Battles"
"05-2020","Est","Battles"
"05-2020","Est","Battles"
"05-2020","Est","Battles"
"05-2020","Sahel","Violence against civilians"
"05-2020","Est","Battles"
"05-2020","Centre-Nord","Battles"
"05-2020","Sahel","Violence against civilians"
"05-2020","Hauts-Bassins","Protests"
"05-2020","Sahel","Battles"
"05-2020","Sahel","Violence against civilians"
"05-2020","Hauts-Bassins","Battles"
"05-2020","Sahel","Explosions/Remote violence"
"05-2020","Nord","Battles"
"05-2020","Boucle du Mouhoun","Battles"
"05-2020","Est","Strategic developments"
"05-2020","Sahel","Battles"
"05-2020","Est","Violence against civilians"
"05-2020","Est","Protests"
"05-2020","Centre-Est","Violence against civilians"
"05-2020","Sahel","Violence against civilians"
"05-2020","Sahel","Violence against civilians"
"05-2020","Sahel","Violence against civilians"
"05-2020","Centre-Est","Protests"
"05-2020","Boucle du Mouhoun","Battles"
"05-2020","Est","Battles"
"05-2020","Nord","Battles"
"05-2020","Sahel","Battles"
"05-2020","Hauts-Bassins","Protests"
"05-2020","Centre-Nord","Battles"
"05-2020","Est","Battles"
"05-2020","Est","Violence against civilians"
"05-2020","Est","Violence against civilians"
"06-2020","Sahel","Battles"
"06-2020","Centre","Protests"
"06-2020","Est","Protests"
"06-2020","Sahel","Explosions/Remote violence"
"06-2020","Sahel","Explosions/Remote violence"
"06-2020","Hauts-Bassins","Protests"
"06-2020","Sahel","Battles"
"06-2020","Sahel","Violence against civilians"
"06-2020","Est","Strategic developments"
"06-2020","Nord","Violence against civilians"
"06-2020","Est","Violence against civilians"
"06-2020","Est","Battles"
"06-2020","Est","Battles"
"06-2020","Est","Violence against civilians"
"06-2020","Sahel","Explosions/Remote violence"
"06-2020","Est","Violence against civilians"
"06-2020","Sahel","Battles"
"06-2020","Sahel","Battles"
"06-2020","Sahel","Battles"
"06-2020","Sahel","Battles"
"06-2020","Sahel","Battles"
"06-2020","Est","Protests"
"06-2020","Nord","Battles"
"06-2020","Hauts-Bassins","Violence against civilians"
"06-2020","Sahel","Battles"
"06-2020","Est","Protests"
"06-2020","Sahel","Violence against civilians"
"06-2020","Est","Battles"
"06-2020","Sahel","Violence against civilians"
"06-2020","Est","Battles"
"06-2020","Boucle du Mouhoun","Battles"
"06-2020","Sahel","Violence against civilians"
"06-2020","Sahel","Strategic developments"
"06-2020","Centre-Nord","Violence against civilians"
"06-2020","Centre-Nord","Strategic developments"
"06-2020","Est","Violence against civilians"
"06-2020","Est","Violence against civilians"
"06-2020","Est","Battles"
"06-2020","Sahel","Strategic developments"
"06-2020","Sahel","Explosions/Remote violence"
"06-2020","Est","Violence against civilians"
"06-2020","Sahel","Explosions/Remote violence"
"06-2020","Sahel","Violence against civilians"
"06-2020","Boucle du Mouhoun","Strategic developments"
"06-2020","Est","Strategic developments"
"06-2020","Sahel","Strategic developments"
"06-2020","Boucle du Mouhoun","Violence against civilians"
"06-2020","Centre","Protests"
"06-2020","Sahel","Strategic developments"
"06-2020","Centre-Ouest","Strategic developments"
"06-2020","Sahel","Violence against civilians"
"06-2020","Est","Strategic developments"
"06-2020","Centre-Nord","Battles"
"06-2020","Nord","Battles"
"06-2020","Boucle du Mouhoun","Strategic developments"
"06-2020","Hauts-Bassins","Strategic developments"
"06-2020","Nord","Explosions/Remote violence"
"06-2020","Boucle du Mouhoun","Violence against civilians"
"06-2020","Est","Violence against civilians"
"06-2020","Sahel","Strategic developments"
"06-2020","Sahel","Violence against civilians"
"06-2020","Sahel","Battles"
"06-2020","Sahel","Battles"
"06-2020","Est","Violence against civilians"
"06-2020","Est","Violence against civilians"
"06-2020","Centre-Nord","Battles"
"06-2020","Centre-Ouest","Protests"
"07-2020","Centre","Protests"
"07-2020","Nord","Battles"
"07-2020","Centre","Protests"
"07-2020","Est","Violence against civilians"
"07-2020","Centre-Ouest","Protests"
"07-2020","Sahel","Battles"
"07-2020","Sahel","Violence against civilians"
"07-2020","Est","Violence against civilians"
"07-2020","Boucle du Mouhoun","Strategic developments"
"07-2020","Boucle du Mouhoun","Battles"
"07-2020","Est","Battles"
"07-2020","Nord","Strategic developments"
"07-2020","Est","Strategic developments"
"07-2020","Sahel","Strategic developments"
"07-2020","Centre-Nord","Battles"
"07-2020","Sahel","Battles"
"07-2020","Est","Violence against civilians"
"07-2020","Hauts-Bassins","Riots"
"07-2020","Centre-Nord","Riots"
"07-2020","Sahel","Violence against civilians"
"07-2020","Sahel","Strategic developments"
"07-2020","Sahel","Violence against civilians"
"07-2020","Est","Violence against civilians"
"07-2020","Nord","Battles"
"07-2020","Centre","Battles"
"07-2020","Sud-Ouest","Battles"
"07-2020","Est","Battles"
"07-2020","Est","Explosions/Remote violence"
"07-2020","Est","Violence against civilians"
"07-2020","Centre-Nord","Violence against civilians"
"07-2020","Centre","Protests"
"07-2020","Est","Violence against civilians"
"07-2020","Sahel","Violence against civilians"
"07-2020","Est","Violence against civilians"
"07-2020","Sahel","Explosions/Remote violence"
"07-2020","Est","Violence against civilians"
"07-2020","Nord","Battles"
"07-2020","Sahel","Battles"
"07-2020","Est","Violence against civilians"
"07-2020","Nord","Violence against civilians"
"07-2020","Sahel","Battles"
"07-2020","Nord","Battles"
"07-2020","Centre-Nord","Battles"
"07-2020","Boucle du Mouhoun","Violence against civilians"
"07-2020","Sahel","Explosions/Remote violence"
"07-2020","Sahel","Explosions/Remote violence"
"07-2020","Est","Battles"
"07-2020","Sahel","Strategic developments"
"07-2020","Sahel","Explosions/Remote violence"
"07-2020","Sahel","Battles"
"07-2020","Centre-Nord","Violence against civilians"
"07-2020","Centre-Nord","Violence against civilians"
"07-2020","Centre-Nord","Violence against civilians"
"07-2020","Sahel","Battles"
"07-2020","Sahel","Violence against civilians"
"07-2020","Centre","Protests"
"07-2020","Sahel","Explosions/Remote violence"
"07-2020","Centre-Nord","Strategic developments"
"07-2020","Sahel","Violence against civilians"
"07-2020","Sahel","Strategic developments"
"07-2020","Centre-Ouest","Protests"
"07-2020","Centre-Nord","Battles"
"07-2020","Est","Explosions/Remote violence"
"07-2020","Centre-Est","Violence against civilians"
"07-2020","Centre-Ouest","Protests"
"07-2020","Sahel","Strategic developments"
"07-2020","Sahel","Battles"
"07-2020","Boucle du Mouhoun","Violence against civilians"
"07-2020","Nord","Strategic developments"
"07-2020","Boucle du Mouhoun","Violence against civilians"
"07-2020","Est","Strategic developments"
"07-2020","Est","Strategic developments"
"07-2020","Sahel","Violence against civilians"
"07-2020","Est","Strategic developments"
"07-2020","Est","Strategic developments"
"07-2020","Est","Strategic developments"
"07-2020","Est","Strategic developments"
"07-2020","Est","Strategic developments"
"07-2020","Est","Strategic developments"
"07-2020","Est","Strategic developments"
"07-2020","Est","Strategic developments"
"07-2020","Est","Strategic developments"
"07-2020","Est","Strategic developments"
"07-2020","Hauts-Bassins","Protests"
"07-2020","Sahel","Violence against civilians"
"07-2020","Sahel","Battles"
"07-2020","Nord","Violence against civilians"
"07-2020","Centre-Nord","Battles"
"07-2020","Sahel","Battles"
"08-2020","Est","Violence against civilians"
"08-2020","Sahel","Violence against civilians"
"08-2020","Nord","Explosions/Remote violence"
"08-2020","Est","Strategic developments"
"08-2020","Est","Strategic developments"
"08-2020","Est","Strategic developments"
"08-2020","Sahel","Battles"
"08-2020","Est","Violence against civilians"
"08-2020","Sahel","Violence against civilians"
"08-2020","Sahel","Strategic developments"
"08-2020","Sahel","Strategic developments"
"08-2020","Centre-Nord","Battles"
"08-2020","Sahel","Battles"
"08-2020","Sahel","Violence against civilians"
"08-2020","Est","Violence against civilians"
"08-2020","Est","Battles"
"08-2020","Centre","Violence against civilians"
"08-2020","Est","Violence against civilians"
"08-2020","Est","Violence against civilians"
"08-2020","Centre","Protests"
"08-2020","Centre-Nord","Violence against civilians"
"08-2020","Sahel","Violence against civilians"
"08-2020","Sahel","Battles"
"08-2020","Boucle du Mouhoun","Battles"
"08-2020","Sahel","Strategic developments"
"08-2020","Est","Battles"
"08-2020","Boucle du Mouhoun","Battles"
"08-2020","Sahel","Violence against civilians"
"08-2020","Est","Explosions/Remote violence"
"08-2020","Centre-Nord","Strategic developments"
"08-2020","Sahel","Violence against civilians"
"08-2020","Nord","Strategic developments"
"08-2020","Nord","Explosions/Remote violence"
"08-2020","Nord","Strategic developments"
"08-2020","Nord","Battles"
"08-2020","Nord","Strategic developments"
"08-2020","Sahel","Violence against civilians"
"08-2020","Sahel","Violence against civilians"
"08-2020","Boucle du Mouhoun","Battles"
"08-2020","Boucle du Mouhoun","Violence against civilians"
"08-2020","Boucle du Mouhoun","Violence against civilians"
"08-2020","Sahel","Battles"
"08-2020","Est","Strategic developments"
"08-2020","Nord","Battles"
"08-2020","Centre-Nord","Violence against civilians"
"08-2020","Est","Violence against civilians"
"08-2020","Sahel","Strategic developments"
"08-2020","Nord","Violence against civilians"
"08-2020","Centre-Nord","Protests"
"08-2020","Sahel","Violence against civilians"
"08-2020","Centre","Protests"
"08-2020","Sahel","Battles"
"08-2020","Est","Riots"
"08-2020","Sahel","Violence against civilians"
"08-2020","Centre","Protests"
"08-2020","Sahel","Strategic developments"
"08-2020","Sahel","Explosions/Remote violence"
"08-2020","Centre-Nord","Battles"
"08-2020","Sahel","Battles"
"08-2020","Nord","Battles"
"08-2020","Sahel","Strategic developments"
"08-2020","Sahel","Battles"
"08-2020","Boucle du Mouhoun","Violence against civilians"
"08-2020","Centre-Nord","Strategic developments"
"08-2020","Centre-Nord","Explosions/Remote violence"
"08-2020","Sahel","Violence against civilians"
"08-2020","Nord","Strategic developments"
"08-2020","Nord","Protests"
"08-2020","Nord","Battles"
"08-2020","Centre","Protests"
"08-2020","Centre-Nord","Strategic developments"
"08-2020","Centre-Nord","Violence against civilians"
"08-2020","Sahel","Violence against civilians"
"08-2020","Sahel","Battles"
"08-2020","Centre","Riots"
"08-2020","Centre-Est","Violence against civilians"
"08-2020","Sahel","Violence against civilians"
"08-2020","Sahel","Strategic developments"
"09-2020","Est","Violence against civilians"
"09-2020","Est","Violence against civilians"
"09-2020","Hauts-Bassins","Protests"
"09-2020","Est","Explosions/Remote violence"
"09-2020","Sahel","Explosions/Remote violence"
"09-2020","Centre-Nord","Protests"
"09-2020","Est","Violence against civilians"
"09-2020","Sahel","Violence against civilians"
"09-2020","Centre-Ouest","Violence against civilians"
"09-2020","Sahel","Explosions/Remote violence"
"09-2020","Hauts-Bassins","Battles"
"09-2020","Sahel","Violence against civilians"
"09-2020","Est","Violence against civilians"
"09-2020","Sahel","Strategic developments"
"09-2020","Sahel","Violence against civilians"
"09-2020","Est","Battles"
"09-2020","Sahel","Battles"
"09-2020","Sahel","Battles"
"09-2020","Sahel","Battles"
"09-2020","Nord","Battles"
"09-2020","Sahel","Violence against civilians"
"09-2020","Sahel","Battles"
"09-2020","Hauts-Bassins","Battles"
"09-2020","Nord","Explosions/Remote violence"
"09-2020","Centre-Nord","Strategic developments"
"09-2020","Centre-Nord","Battles"
"09-2020","Sahel","Battles"
"09-2020","Nord","Battles"
"09-2020","Sahel","Battles"
"09-2020","Sahel","Violence against civilians"
"09-2020","Nord","Explosions/Remote violence"
"09-2020","Sahel","Violence against civilians"
"09-2020","Sahel","Strategic developments"
"09-2020","Sahel","Violence against civilians"
"09-2020","Sahel","Violence against civilians"
"09-2020","Est","Strategic developments"
"09-2020","Centre-Est","Protests"
"09-2020","Centre-Est","Violence against civilians"
"09-2020","Sahel","Violence against civilians"
"09-2020","Nord","Explosions/Remote violence"
"09-2020","Est","Violence against civilians"
"09-2020","Centre-Nord","Violence against civilians"
"09-2020","Boucle du Mouhoun","Violence against civilians"
"09-2020","Est","Strategic developments"
"09-2020","Sahel","Battles"
"09-2020","Boucle du Mouhoun","Violence against civilians"
"09-2020","Est","Protests"
"09-2020","Centre","Protests"
"09-2020","Est","Violence against civilians"
"09-2020","Est","Battles"
"09-2020","Est","Violence against civilians"
"09-2020","Centre-Est","Protests"
"09-2020","Centre-Nord","Battles"
"09-2020","Sahel","Strategic developments"
"09-2020","Cascades","Battles"
"09-2020","Centre-Est","Protests"
"09-2020","Sahel","Battles"
"09-2020","Sahel","Battles"
"09-2020","Sahel","Violence against civilians"
"09-2020","Boucle du Mouhoun","Violence against civilians"
"09-2020","Sahel","Violence against civilians"
"09-2020","Boucle du Mouhoun","Violence against civilians"
"09-2020","Est","Violence against civilians"
"09-2020","Sahel","Violence against civilians"
"09-2020","Sahel","Violence against civilians"
"09-2020","Est","Battles"
"09-2020","Boucle du Mouhoun","Explosions/Remote violence"
"09-2020","Est","Battles"
"09-2020","Est","Battles"
"09-2020","Sahel","Violence against civilians"
"09-2020","Sahel","Violence against civilians"
"09-2020","Sahel","Violence against civilians"
"09-2020","Sahel","Battles"
"09-2020","Est","Explosions/Remote violence"
"09-2020","Sahel","Strategic developments"
"09-2020","Centre-Nord","Violence against civilians"
"09-2020","Sahel","Violence against civilians"
"09-2020","Est","Explosions/Remote violence"
"09-2020","Sahel","Strategic developments"
"09-2020","Sahel","Violence against civilians"
"09-2020","Sahel","Violence against civilians"
"10-2020","Sahel","Battles"
"10-2020","Boucle du Mouhoun","Violence against civilians"
"10-2020","Centre-Ouest","Protests"
"10-2020","Est","Violence against civilians"
"10-2020","Sahel","Battles"
"10-2020","Sahel","Battles"
"10-2020","Centre-Nord","Violence against civilians"
"10-2020","Est","Violence against civilians"
"10-2020","Boucle du Mouhoun","Violence against civilians"
"10-2020","Sahel","Battles"
"10-2020","Sahel","Violence against civilians"
"10-2020","Sahel","Strategic developments"
"10-2020","Sahel","Riots"
"10-2020","Sahel","Violence against civilians"
"10-2020","Nord","Strategic developments"
"10-2020","Est","Battles"
"10-2020","Sahel","Violence against civilians"
"10-2020","Sahel","Battles"
"10-2020","Est","Violence against civilians"
"10-2020","Sahel","Violence against civilians"
"10-2020","Sahel","Battles"
"10-2020","Sahel","Violence against civilians"
"10-2020","Sahel","Violence against civilians"
"10-2020","Sahel","Violence against civilians"
"10-2020","Sahel","Violence against civilians"
"10-2020","Nord","Strategic developments"
"10-2020","Sahel","Violence against civilians"
"10-2020","Nord","Battles"
"10-2020","Sahel","Battles"
"10-2020","Sahel","Violence against civilians"
"10-2020","Sahel","Violence against civilians"
"10-2020","Sahel","Battles"
"10-2020","Sahel","Battles"
"10-2020","Nord","Battles"
"10-2020","Sahel","Battles"
"10-2020","Centre-Nord","Violence against civilians"
"10-2020","Centre","Protests"
"10-2020","Est","Battles"
"10-2020","Sahel","Explosions/Remote violence"
"10-2020","Est","Violence against civilians"
"10-2020","Sahel","Violence against civilians"
"10-2020","Sahel","Battles"
"10-2020","Sahel","Violence against civilians"
"10-2020","Est","Battles"
"10-2020","Centre-Nord","Violence against civilians"
"10-2020","Nord","Battles"
"10-2020","Sahel","Battles"
"10-2020","Sud-Ouest","Protests"
"10-2020","Sahel","Explosions/Remote violence"
"10-2020","Sahel","Violence against civilians"
"10-2020","Sahel","Explosions/Remote violence"
"10-2020","Sahel","Violence against civilians"
"10-2020","Boucle du Mouhoun","Violence against civilians"
"10-2020","Sahel","Strategic developments"
"10-2020","Sahel","Violence against civilians"
"11-2020","Sahel","Strategic developments"
"11-2020","Sahel","Violence against civilians"
"11-2020","Sahel","Battles"
"11-2020","Boucle du Mouhoun","Violence against civilians"
"11-2020","Nord","Protests"
"11-2020","Boucle du Mouhoun","Strategic developments"
"11-2020","Sahel","Violence against civilians"
"11-2020","Sahel","Battles"
"11-2020","Est","Strategic developments"
"11-2020","Centre","Violence against civilians"
"11-2020","Centre-Nord","Violence against civilians"
"11-2020","Sahel","Violence against civilians"
"11-2020","Sahel","Violence against civilians"
"11-2020","Sahel","Violence against civilians"
"11-2020","Sahel","Violence against civilians"
"11-2020","Sahel","Violence against civilians"
"11-2020","Centre-Nord","Battles"
"11-2020","Centre-Nord","Violence against civilians"
"11-2020","Est","Battles"
"11-2020","Sahel","Battles"
"11-2020","Sahel","Violence against civilians"
"11-2020","Sahel","Battles"
"11-2020","Centre","Protests"
"11-2020","Sahel","Explosions/Remote violence"
"11-2020","Sahel","Explosions/Remote violence"
"11-2020","Sahel","Explosions/Remote violence"
"11-2020","Sahel","Violence against civilians"
"11-2020","Est","Violence against civilians"
"11-2020","Sahel","Violence against civilians"
"11-2020","Est","Strategic developments"
"11-2020","Sahel","Strategic developments"
